type,name,extra
schema,core,
schema,information_schema,
schema,logs,
schema,pg_catalog,
schema,pg_toast,
schema,processed,
schema,public,
schema,release,
schema,report,
schema,source,
table,logs.image_processing_events,BASE TABLE
table,logs.juno_transfers,BASE TABLE
table,processed.batch_event_summary,VIEW
table,processed.batch_processing_status,BASE TABLE
table,processed.batch_summary,VIEW
table,processed.batches,BASE TABLE
table,processed.camera_stats,VIEW
table,processed.completed_stages,VIEW
table,processed.error_events,VIEW
table,processed.event_summary_24h,VIEW
table,processed.events,BASE TABLE
table,processed.failed_images_by_batch,VIEW
table,processed.failed_stages,VIEW
table,processed.images,BASE TABLE
table,processed.images_with_detections,VIEW
table,processed.in_progress_stages,VIEW
table,processed.pending_images_by_batch,VIEW
table,processed.recent_events,VIEW
table,processed.stage_events,VIEW
table,processed.stage_status,BASE TABLE
table,processed.v_batch_processing_summary,VIEW
table,processed.v_batches_ready_for_dng,VIEW
table,processed.v_batches_ready_for_jpg,VIEW
table,processed.warning_events,VIEW
table,report.batch_pipeline_status,VIEW
table,report.batches_needing_jpg_to_metadata,VIEW
table,report.batches_needing_metadata_to_cutouts,VIEW
table,report.batches_needing_raw_to_jpg,VIEW
table,report.files_needing_jpg_to_metadata,VIEW
table,report.files_needing_metadata_to_cutouts,VIEW
table,report.files_needing_raw_to_jpg,VIEW
table,report.pipeline_gap_summary,VIEW
table,source.globus_file_index,BASE TABLE
view,information_schema._pg_foreign_data_wrappers,
view,information_schema._pg_foreign_servers,
view,information_schema._pg_foreign_table_columns,
view,information_schema._pg_foreign_tables,
view,information_schema._pg_user_mappings,
view,information_schema.administrable_role_authorizations,
view,information_schema.applicable_roles,
view,information_schema.attributes,
view,information_schema.character_sets,
view,information_schema.check_constraint_routine_usage,
view,information_schema.check_constraints,
view,information_schema.collation_character_set_applicability,
view,information_schema.collations,
view,information_schema.column_column_usage,
view,information_schema.column_domain_usage,
view,information_schema.column_options,
view,information_schema.column_privileges,
view,information_schema.column_udt_usage,
view,information_schema.columns,
view,information_schema.constraint_column_usage,
view,information_schema.constraint_table_usage,
view,information_schema.data_type_privileges,
view,information_schema.domain_constraints,
view,information_schema.domain_udt_usage,
view,information_schema.domains,
view,information_schema.element_types,
view,information_schema.enabled_roles,
view,information_schema.foreign_data_wrapper_options,
view,information_schema.foreign_data_wrappers,
view,information_schema.foreign_server_options,
view,information_schema.foreign_servers,
view,information_schema.foreign_table_options,
view,information_schema.foreign_tables,
view,information_schema.information_schema_catalog_name,
view,information_schema.key_column_usage,
view,information_schema.parameters,
view,information_schema.referential_constraints,
view,information_schema.role_column_grants,
view,information_schema.role_routine_grants,
view,information_schema.role_table_grants,
view,information_schema.role_udt_grants,
view,information_schema.role_usage_grants,
view,information_schema.routine_column_usage,
view,information_schema.routine_privileges,
view,information_schema.routine_routine_usage,
view,information_schema.routine_sequence_usage,
view,information_schema.routine_table_usage,
view,information_schema.routines,
view,information_schema.schemata,
view,information_schema.sequences,
view,information_schema.table_constraints,
view,information_schema.table_privileges,
view,information_schema.tables,
view,information_schema.transforms,
view,information_schema.triggered_update_columns,
view,information_schema.triggers,
view,information_schema.udt_privileges,
view,information_schema.usage_privileges,
view,information_schema.user_defined_types,
view,information_schema.user_mapping_options,
view,information_schema.user_mappings,
view,information_schema.view_column_usage,
view,information_schema.view_routine_usage,
view,information_schema.view_table_usage,
view,information_schema.views,
